epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,5879.97,1.03408,0.78332,1.26905,0.79224,0.75507,0.75983,0.47409,1.29755,0.7874,1.33813,0.00802,0.00802,0.00802
102,5937.66,1.03453,0.77237,1.26903,0.81018,0.72335,0.76394,0.48511,1.28058,0.78717,1.31456,0.0080002,0.0080002,0.0080002
103,5996.92,1.01562,0.76178,1.26119,0.75224,0.73711,0.74225,0.47201,1.29292,0.80339,1.32567,0.0079804,0.0079804,0.0079804
104,6055.9,1.02241,0.76588,1.26255,0.78289,0.73308,0.75192,0.47679,1.29396,0.8072,1.32844,0.0079606,0.0079606,0.0079606
105,6113.91,1.02276,0.76065,1.26133,0.77659,0.72951,0.75109,0.48711,1.29344,0.79275,1.3211,0.0079408,0.0079408,0.0079408
106,6172.35,1.01383,0.75455,1.26302,0.80036,0.72754,0.75724,0.48902,1.28831,0.78395,1.32134,0.007921,0.007921,0.007921
107,6231.77,1.00867,0.75177,1.25766,0.78598,0.7405,0.75641,0.48254,1.29309,0.78598,1.33176,0.0079012,0.0079012,0.0079012
108,6290.2,1.01991,0.75548,1.26278,0.79482,0.73586,0.75196,0.48078,1.28987,0.78661,1.3332,0.0078814,0.0078814,0.0078814
109,6349.02,1.00229,0.75056,1.25872,0.782,0.7336,0.75259,0.48495,1.29244,0.77402,1.33519,0.0078616,0.0078616,0.0078616
110,6407.44,1.00454,0.75008,1.2531,0.79916,0.71261,0.75842,0.48235,1.29602,0.78544,1.32633,0.0078418,0.0078418,0.0078418
111,6466.2,1.00024,0.73784,1.25038,0.79202,0.73313,0.75951,0.47956,1.28524,0.79918,1.32837,0.007822,0.007822,0.007822
112,6522.03,1.00689,0.74755,1.24972,0.80113,0.73661,0.75468,0.47201,1.28952,0.80086,1.33091,0.0078022,0.0078022,0.0078022
113,6576.74,1.00725,0.74356,1.25307,0.81203,0.72278,0.75001,0.47962,1.27851,0.78367,1.31963,0.0077824,0.0077824,0.0077824
114,6633.13,1.00101,0.73548,1.24492,0.80308,0.73914,0.74804,0.47943,1.28002,0.79805,1.32643,0.0077626,0.0077626,0.0077626
115,6691.55,0.99511,0.73166,1.24557,0.777,0.73803,0.74736,0.4816,1.27606,0.79447,1.33272,0.0077428,0.0077428,0.0077428
116,6748.64,0.99982,0.73915,1.24595,0.81525,0.73252,0.75886,0.47792,1.28607,0.79425,1.33172,0.007723,0.007723,0.007723
117,6804.7,0.99215,0.7284,1.24736,0.8099,0.73351,0.7551,0.48228,1.28865,0.80519,1.33453,0.0077032,0.0077032,0.0077032
118,6863.05,0.99126,0.74399,1.24666,0.78273,0.74103,0.7544,0.48406,1.27824,0.79697,1.32362,0.0076834,0.0076834,0.0076834
119,6918.9,0.9965,0.73884,1.24453,0.81168,0.72056,0.75703,0.48364,1.27413,0.79525,1.32279,0.0076636,0.0076636,0.0076636
120,6974.39,0.98522,0.72065,1.2367,0.77992,0.73439,0.75488,0.48428,1.27442,0.79717,1.32933,0.0076438,0.0076438,0.0076438
121,7031.95,0.98233,0.72049,1.237,0.77879,0.73155,0.74508,0.48527,1.27119,0.79241,1.3327,0.007624,0.007624,0.007624
122,7088.53,0.98313,0.72527,1.24056,0.81112,0.72896,0.75019,0.48595,1.27113,0.78597,1.32463,0.0076042,0.0076042,0.0076042
123,7142.84,0.98315,0.71937,1.23449,0.81151,0.71884,0.75612,0.48326,1.26607,0.78463,1.32521,0.0075844,0.0075844,0.0075844
124,7199.02,0.97696,0.71914,1.23942,0.81725,0.72474,0.76215,0.48871,1.27417,0.77557,1.3291,0.0075646,0.0075646,0.0075646
125,7255.83,0.97431,0.72062,1.22909,0.81691,0.72063,0.76078,0.48747,1.2775,0.78109,1.33182,0.0075448,0.0075448,0.0075448
126,7310.17,0.97645,0.71521,1.2304,0.81087,0.72947,0.76449,0.48758,1.28026,0.7756,1.33997,0.007525,0.007525,0.007525
127,7366.7,0.97236,0.71055,1.23152,0.78323,0.71523,0.74291,0.47775,1.27542,0.79059,1.33407,0.0075052,0.0075052,0.0075052
128,7423.43,0.96802,0.71043,1.22519,0.78048,0.72561,0.74292,0.48215,1.27336,0.78595,1.33084,0.0074854,0.0074854,0.0074854
129,7478.05,0.974,0.71717,1.23079,0.78265,0.72461,0.74349,0.48208,1.2742,0.79153,1.33549,0.0074656,0.0074656,0.0074656
130,7533.37,0.96235,0.70157,1.22577,0.7744,0.74712,0.75303,0.48435,1.27361,0.7726,1.32915,0.0074458,0.0074458,0.0074458
131,7590.76,0.95559,0.69802,1.2173,0.78317,0.73348,0.75538,0.48563,1.27065,0.77541,1.32575,0.007426,0.007426,0.007426
132,7645.56,0.97122,0.71519,1.227,0.77492,0.72848,0.74671,0.48303,1.26573,0.77753,1.32276,0.0074062,0.0074062,0.0074062
133,7701.96,0.95597,0.70454,1.22251,0.79217,0.72844,0.75061,0.48461,1.26663,0.77849,1.32779,0.0073864,0.0073864,0.0073864
134,7759.51,0.96404,0.70812,1.22444,0.78904,0.7277,0.74928,0.48355,1.27818,0.78748,1.3353,0.0073666,0.0073666,0.0073666
135,7814.57,0.96448,0.70737,1.22674,0.79734,0.73181,0.74779,0.48353,1.27119,0.77674,1.33231,0.0073468,0.0073468,0.0073468
136,7869.79,0.96272,0.70192,1.2207,0.78643,0.74491,0.74833,0.48384,1.27264,0.77774,1.33075,0.007327,0.007327,0.007327
137,7927.85,0.96456,0.70203,1.22099,0.78579,0.73612,0.75056,0.48867,1.2715,0.78318,1.32948,0.0073072,0.0073072,0.0073072
